,Insertion Sort,Selection Sort
333,9654000,1677695000
334,10889000,1686406000
335,17344000,1689999000
336,23509000,1703029000
337,21365000,1715683000
338,13209000,1800491000
339,16004000,1737721000
340,13831000,1780716000
341,11351000,1755730000
342,9599000,1761334000
343,19282000,1782115000
344,7997000,1773969000
345,24337000,1804255000
346,19242000,1803041000
347,20035000,1821054000
348,17541000,1838714000
349,8000000,1851593000
350,7997000,1857656000
351,12637000,1855991000
352,21500000,1868465000
353,23304000,1895253000
354,8029000,1903646000
355,9847000,1915468000
356,9807000,1904519000
357,19116000,1927492000
358,18383000,1933877000
359,10527000,1953472000
360,20933000,1965835000
361,22495000,1979705000
362,21984000,1977915000
363,12094000,2001368000
364,17191000,2023672000
365,13193000,2006992000
366,10119000,2040734000
367,11199000,2036132000
368,19929000,2041084000
369,24563000,2060455000
370,11277000,2073038000
371,15979000,2234436000
372,13391000,2192018000
373,7996000,2108469000
374,17527000,2107193000
375,22356000,2126558000
376,14038000,2147733000
377,19529000,2147362000
378,18822000,2151698000
379,24981000,2182196000
380,9958000,2194159000
381,11115000,2196019000
382,8018000,2193423000
383,18011000,2233791000
384,15682000,2224350000
385,22730000,2262553000
386,16011000,2258593000
387,16162000,2267460000
388,18431000,2294194000
389,15598000,2292973000
390,10355000,2299511000
391,16004000,2307044000
392,13415000,2333706000
393,12137000,2337460000
394,15981000,2576706000
395,20986000,2587102000
396,16006000,2576952000
397,24409000,2814912000
398,10445000,2615755000
399,16014000,2427690000
400,14338000,2506258000
401,24630000,2454127000
402,14622000,2447540000
403,20151000,2468415000
404,12103000,2478703000
405,19443000,2483555000
406,24337000,2499180000
407,15489000,2500655000
408,24056000,2532201000
409,15937000,2526460000
410,25566000,2542140000
411,18016000,2649721000
412,26233000,2582619000
413,19473000,2590021000
414,25507000,2650397000
415,14491000,2593969000
416,20395000,2688009000
417,8012000,2635948000
418,12315000,2644044000
419,10124000,2643251000
420,22936000,2661123000
421,18603000,2679386000
422,18408000,2684635000
423,22139000,2697932000
424,15206000,2720114000
425,24477000,2727024000
426,23687000,2735345000
427,18191000,2755880000
428,16580000,2780241000
429,17113000,2774894000
430,18433000,2801301000
431,7998000,2816177000
432,18035000,2833243000
433,11737000,2848395000
434,18993000,2850638000
435,20273000,2861810000
436,21506000,2887795000
437,16417000,2891163000
438,15533000,2901105000
439,22972000,2908925000
440,15428000,2927670000
441,19545000,3049744000
442,8026000,2951270000
443,13490000,2979597000
444,14303000,2985409000
445,10515000,2990611000
446,23790000,3002555000
447,20715000,3016506000
448,24028000,3025138000
449,17312000,3042515000
450,24071000,3056626000
451,15161000,3085441000
452,15102000,3102512000
453,15523000,3108055000
454,16010000,3118080000
455,10774000,3212019000
456,16283000,3137164000
457,17121000,3155467000
458,10838000,3160733000
459,12737000,3185729000
460,20059000,3193528000
461,18160000,3213931000
462,12846000,3229664000
463,18984000,3242794000
464,24704000,3253837000
465,19668000,3270880000
466,13863000,3293814000
467,15987000,3296288000
468,21427000,3309542000
469,25452000,3317709000
470,18203000,3327885000
471,10233000,3364906000
472,13487000,3387373000
473,16373000,3382828000
474,17337000,3499664000
475,8022000,3397985000
476,24783000,3534357000
477,31102000,3424005000
478,19517000,3447118000
479,24252000,3523237000
480,15998000,3481747000
481,13156000,3493484000
482,20562000,3670405000
483,10101000,3560559000
484,15996000,3538705000
485,18597000,3557617000
486,18801000,3583400000
487,15998000,3595945000
488,23058000,3587515000
489,22130000,3623567000
490,24338000,3635840000
491,22006000,3636380000
492,23174000,3707367000
493,16001000,3770485000
494,19062000,3688819000
495,21449000,3697861000
496,32508000,3715393000
497,27823000,3861351000
498,11166000,3721720000
499,9891000,3735862000
500,9773000,3778873000
501,32544000,3785612000
502,19531000,3806464000
503,15424000,3811578000
504,11323000,3840773000
505,25844000,3871038000
506,22723000,3872526000
507,11734000,3884871000
508,28373000,3937862000
509,16213000,3911417000
510,16700000,3956410000
511,16592000,3955087000
512,12470000,3964269000
513,15325000,3965385000
514,25525000,4007961000
515,15716000,4051699000
516,15966000,4059534000
517,18836000,4043090000
518,11322000,4272133000
519,15979000,4072927000
520,17938000,4094331000
521,21181000,4112713000
522,16605000,4118700000
523,15986000,4146131000
524,20852000,4213952000
525,27179000,4152997000
526,24911000,4178747000
527,16005000,4209404000
528,17632000,4199438000
529,11715000,4226604000
530,23441000,4240454000
531,21111000,4256225000
532,27980000,4280973000
533,15977000,4291379000
534,24642000,4564094000
535,18376000,4398429000
536,32024000,4340987000
537,22562000,4356192000
538,17711000,4367613000
539,20556000,4379442000
540,28074000,4390843000
541,9385000,4422827000
542,15978000,4428207000
543,24780000,4453986000
544,16339000,4475997000
545,19187000,4477732000
546,29851000,4500834000
547,19167000,4519584000
548,27747000,4527481000
549,19685000,4553232000
550,24592000,4583676000
551,16005000,4601798000
552,28568000,4604321000
553,32443000,4627504000
554,23340000,4652822000
555,19546000,4647480000
556,18252000,4660842000
557,27493000,4803194000
558,23266000,4711482000
559,17363000,4734183000
560,18618000,4759415000
561,18081000,4783763000
562,18634000,4982541000
563,26821000,4785117000
564,26704000,4811446000
565,15979000,4819973000
566,24531000,4826508000
567,17861000,4857623000
568,27729000,4877268000
569,16007000,4999209000
570,18312000,4950748000
571,16002000,4925755000
572,28793000,4950554000
573,26314000,4962597000
574,30499000,5085977000
575,17827000,5044198000
576,30016000,5011328000
577,27995000,5025880000
578,23792000,5048601000
579,19124000,5056404000
580,31448000,5063208000
581,23987000,5155993000
582,26480000,5225307000
583,23646000,5213927000
584,26192000,5153897000
585,24611000,5177909000
586,18040000,5178348000
587,29789000,5203738000
588,18786000,5218076000
589,25597000,5244481000
590,20115000,5254149000
591,26320000,5270421000
592,26507000,5434575000
593,21791000,5324657000
594,24014000,5339535000
595,15974000,5350936000
596,25152000,5391552000
597,22741000,5562833000
598,25235000,5407700000
599,24254000,5416563000
600,22797000,5429486000
601,31853000,5557527000
602,28364000,5472616000
603,23501000,5495268000
604,19456000,5519350000
605,23567000,5502759000
606,31923000,5549681000
607,26833000,5569364000
608,25461000,5595785000
609,22568000,5587303000
610,32451000,5729161000
611,26362000,5644042000
612,25214000,5733294000
613,19591000,5682457000
614,22218000,5717449000
615,23361000,5698296000
616,17654000,5733805000
617,24274000,5789479000
618,26674000,5762215000
619,26669000,5790883000
620,24095000,5790999000
621,24616000,5829888000
622,31299000,5845112000
623,31915000,5861949000
624,15983000,5870805000
625,31799000,6131299000
626,19827000,5925425000
627,15985000,6.4729E+13
628,10467000,5962678000
629,18603000,6016465000
630,15996000,5822969000
631,16771000,6996627000
632,24010000,6017291000
633,24007000,5816314000
634,16005000,6123367000
635,16001000,6745347000
636,24005000,5866687000
637,16002000,5609274000
638,16002000,5496022000
639,15999000,5496707000
640,15988000,5680013000
641,16011000,6079997000
642,23980000,6197111000
643,15990000,7090914000
644,24022000,6803498000
645,15999000,7166690000
646,22677000,6906231000
647,27090000,6760484000
648,22053000,6901081000
649,24042000,6711753000
650,16000000,6944666000
651,24015000,6599806000
652,24265000,6938301000
653,198425000,8404337000
654,24000000,6899034000
655,24004000,6687169000
656,24000000,6950669000
657,16000000,6634612000
658,32252000,6619768000
659,16003000,6806288000
660,24300000,6601196000
661,24247000,6599797000
662,24342000,6629635000
663,24205000,6643339000
664,24000000,6973968000
665,24000000,6715617000
666,24000000,6818612000
667,24000000,6741256000
668,24039000,7256364000
669,24002000,6897968000
670,16043000,6850785000
671,24011000,6840096000
672,16013000,6844840000
673,23992000,6975282000
674,24016000,7017016000
675,23984000,6984239000
676,24017000,6965596000
677,16006000,6948279000
678,23988000,6987521000
679,32020000,6982831000
680,16015000,6995200000
681,23980000,7160580000
682,24029000,7133824000
683,24018000,7115893000
684,15982000,7141283000
685,16017000,7111928000
686,16023000,7132127000
687,24032000,7141045000
688,24016000,7185644000
689,47484000,7257392000
690,24015000,7430244000
691,23999000,7412991000
692,23973000,7431504000
693,24025000,7449695000
694,24005000,7480507000
695,24008000,7495477000
696,16010000,7514093000
697,24029000,7560218000
698,23995000,7596755000
699,24036000,7608635000
700,24020000,7598113000
701,24045000,7631190000
702,24012000,7619555000
703,24076000,7635259000
704,24005000,7662875000
705,32020000,7705955000
706,24000000,7696206000
707,24003000,7758611000
708,24026000,7759114000
709,24012000,7748586000
710,23979000,7883540000
711,24015000,7829138000
712,24023000,7862473000
713,31978000,7944985000
714,32005000,7978903000
715,24039000,7946757000
716,32011000,8017826000
717,24030000,7983748000
718,32125000,8168171000
719,20089000,8155156000
720,24081000,8715351000
721,31982000,7986828000
722,32271000,8449100000
723,42856000,8497453000
724,24105000,8344526000
725,22817000,8370425000
726,19330000,8401329000
727,24364000,8663431000
728,29343000,8352784000
729,31130000,8166689000
730,31928000,8105882000
731,24016000,8159179000
732,24016000,8227200000
733,24017000,8212343000
734,24017000,8152562000
735,24421000,8189903000
736,24230000,8202983000
737,32017000,8306655000
738,32005000,8269750000
739,24016000,8497689000
740,32016000,8282176000
741,32384000,8311920000
742,24014000,8587777000
743,21369000,8751695000
744,26067000,8594345000
745,24346000,8627073000
746,27051000,8836308000
747,32753000,8730863000
748,26570000,8698305000
749,25529000,9029567000
750,27857000,9141477000
751,66271000,9085941000
752,31982000,8871084000
753,22396000,9274055000
754,23281000,8960581000
755,23986000,8812072000
756,32325000,8912492000
757,24292000,8947409000
758,27709000,8887855000
759,31102000,9154471000
760,23778000,9323707000
761,25371000,9093048000
762,22164000,9221870000
763,27247000,9018091000
764,26915000,9306402000
765,24170000,9113662000
766,27860000,9418843000
767,27433000,9221110000
768,32173000,9205461000
769,26766000,9434370000
770,27806000,9348368000
771,31740000,9376031000
